image_id,class_label,defect_mode,ipc_class,aoi_flag,manual_decision
board_000000,minor_defect,contamination,Class_2,1,fail
board_000001,good,none,Class_2,0,pass
board_000002,minor_defect,scratch,Class_3,1,fail
board_000003,good,none,Class_2,0,pass
board_000004,good,none,Class_2,0,pass
board_000005,major_defect,tombstone,Class_3,1,fail
board_000006,good,none,Class_2,1,pass
board_000007,good,none,Class_2,0,pass
board_000008,good,none,Class_3,0,pass
board_000009,minor_defect,contamination,Class_3,1,fail
board_000010,good,none,Class_3,0,pass
board_000011,good,none,Class_2,0,pass
board_000012,good,none,Class_2,1,pass
board_000013,good,none,Class_3,1,pass
board_000014,minor_defect,contamination,Class_2,1,fail
board_000015,good,none,Class_3,0,pass
board_000016,major_defect,tombstone,Class_2,1,fail
board_000017,good,none,Class_2,0,pass
board_000018,good,none,Class_3,0,pass
board_000019,minor_defect,cold_joint,Class_3,0,fail
board_000020,good,none,Class_2,0,pass
board_000021,good,none,Class_3,1,pass
board_000022,good,none,Class_2,0,pass
board_000023,good,none,Class_2,0,pass
board_000024,safety_critical_defect,missing_component,Class_2,1,fail
board_000025,minor_defect,scratch,Class_3,0,fail
board_000026,good,none,Class_2,0,pass
board_000027,minor_defect,contamination,Class_3,1,fail
board_000028,good,none,Class_2,0,pass
board_000029,good,none,Class_3,0,pass
board_000030,good,none,Class_2,0,pass
board_000031,minor_defect,scratch,Class_3,1,fail
board_000032,good,none,Class_3,0,pass
board_000033,good,none,Class_2,0,pass
board_000034,minor_defect,scratch,Class_3,0,fail
board_000035,good,none,Class_2,0,pass
board_000036,good,none,Class_3,0,pass
board_000037,major_defect,missing_component,Class_3,0,fail
board_000038,minor_defect,cold_joint,Class_3,1,fail
board_000039,good,none,Class_3,0,pass
board_000040,minor_defect,contamination,Class_2,1,fail
board_000041,good,none,Class_3,0,pass
board_000042,minor_defect,cold_joint,Class_3,1,fail
board_000043,good,none,Class_3,0,pass
board_000044,good,none,Class_2,0,pass
board_000045,minor_defect,scratch,Class_2,1,fail
board_000046,good,none,Class_2,0,pass
board_000047,minor_defect,scratch,Class_2,1,fail
board_000048,good,none,Class_2,0,pass
board_000049,minor_defect,contamination,Class_2,1,fail
board_000050,minor_defect,scratch,Class_3,1,fail
board_000051,minor_defect,cold_joint,Class_2,1,fail
board_000052,good,none,Class_2,0,pass
board_000053,good,none,Class_3,0,pass
board_000054,good,none,Class_3,0,pass
board_000055,minor_defect,cold_joint,Class_2,0,fail
board_000056,minor_defect,scratch,Class_3,0,fail
board_000057,good,none,Class_3,0,pass
board_000058,good,none,Class_3,0,pass
board_000059,minor_defect,contamination,Class_3,1,fail
board_000060,good,none,Class_3,1,pass
board_000061,major_defect,solder_bridge,Class_2,1,fail
board_000062,good,none,Class_2,0,pass
board_000063,good,none,Class_2,0,pass
board_000064,good,none,Class_3,0,pass
board_000065,good,none,Class_3,0,pass
board_000066,good,none,Class_3,0,pass
board_000067,minor_defect,cold_joint,Class_3,1,fail
board_000068,minor_defect,contamination,Class_2,1,fail
board_000069,safety_critical_defect,solder_bridge,Class_3,1,fail
board_000070,minor_defect,scratch,Class_3,1,fail
board_000071,good,none,Class_3,0,pass
board_000072,minor_defect,scratch,Class_3,1,fail
board_000073,good,none,Class_3,0,pass
board_000074,good,none,Class_2,0,pass
board_000075,major_defect,solder_bridge,Class_2,1,fail
board_000076,minor_defect,cold_joint,Class_2,1,fail
board_000077,minor_defect,cold_joint,Class_2,1,fail
board_000078,good,none,Class_3,0,pass
board_000079,good,none,Class_3,0,pass
board_000080,good,none,Class_2,0,pass
board_000081,minor_defect,cold_joint,Class_3,1,fail
board_000082,safety_critical_defect,tombstone,Class_2,1,fail
board_000083,good,none,Class_2,0,pass
board_000084,major_defect,tombstone,Class_3,1,fail
board_000085,good,none,Class_3,0,pass
board_000086,major_defect,solder_bridge,Class_3,0,fail
board_000087,good,none,Class_2,0,pass
board_000088,good,none,Class_3,0,pass
board_000089,good,none,Class_3,1,pass
board_000090,good,none,Class_3,0,pass
board_000091,good,none,Class_3,1,pass
board_000092,safety_critical_defect,tombstone,Class_2,1,fail
board_000093,good,none,Class_2,0,pass
board_000094,good,none,Class_3,1,pass
board_000095,good,none,Class_3,0,pass
board_000096,good,none,Class_3,0,pass
board_000097,good,none,Class_3,0,pass
board_000098,good,none,Class_3,0,pass
board_000099,minor_defect,scratch,Class_2,0,fail
board_000100,minor_defect,scratch,Class_3,1,fail
board_000101,good,none,Class_2,0,pass
board_000102,minor_defect,cold_joint,Class_3,1,fail
board_000103,good,none,Class_3,0,pass
board_000104,good,none,Class_3,0,pass
board_000105,minor_defect,scratch,Class_3,1,fail
board_000106,minor_defect,contamination,Class_3,1,fail
board_000107,major_defect,solder_bridge,Class_2,1,fail
board_000108,minor_defect,scratch,Class_3,0,fail
board_000109,safety_critical_defect,solder_bridge,Class_3,0,fail
board_000110,minor_defect,cold_joint,Class_3,1,fail
board_000111,minor_defect,scratch,Class_3,1,fail
board_000112,good,none,Class_3,0,pass
board_000113,safety_critical_defect,missing_component,Class_3,1,fail
board_000114,good,none,Class_3,0,pass
board_000115,good,none,Class_2,0,pass
board_000116,good,none,Class_3,0,pass
board_000117,good,none,Class_2,0,pass
board_000118,minor_defect,scratch,Class_3,1,fail
board_000119,good,none,Class_3,0,pass
board_000120,good,none,Class_3,0,pass
board_000121,good,none,Class_3,0,pass
board_000122,good,none,Class_3,0,pass
board_000123,minor_defect,contamination,Class_3,1,fail
board_000124,good,none,Class_3,0,pass
board_000125,good,none,Class_2,1,pass
board_000126,major_defect,solder_bridge,Class_2,1,fail
board_000127,good,none,Class_3,1,pass
board_000128,good,none,Class_2,0,pass
board_000129,good,none,Class_2,0,pass
board_000130,good,none,Class_3,0,pass
board_000131,good,none,Class_3,0,pass
board_000132,good,none,Class_2,0,pass
board_000133,major_defect,tombstone,Class_2,0,fail
board_000134,good,none,Class_3,0,pass
board_000135,good,none,Class_2,1,pass
board_000136,good,none,Class_2,0,pass
board_000137,good,none,Class_2,0,pass
board_000138,good,none,Class_3,1,pass
board_000139,good,none,Class_2,0,pass
board_000140,minor_defect,contamination,Class_3,1,fail
board_000141,major_defect,missing_component,Class_3,0,fail
board_000142,good,none,Class_3,0,pass
board_000143,good,none,Class_3,0,pass
board_000144,good,none,Class_3,0,pass
board_000145,safety_critical_defect,solder_bridge,Class_3,1,fail
board_000146,good,none,Class_3,0,pass
board_000147,safety_critical_defect,missing_component,Class_3,0,fail
board_000148,good,none,Class_3,0,pass
board_000149,good,none,Class_3,0,pass
board_000150,good,none,Class_3,0,pass
board_000151,minor_defect,scratch,Class_2,1,fail
board_000152,minor_defect,scratch,Class_3,0,fail
board_000153,good,none,Class_2,0,pass
board_000154,good,none,Class_3,0,pass
board_000155,good,none,Class_3,0,pass
board_000156,good,none,Class_3,0,pass
board_000157,good,none,Class_2,1,pass
board_000158,good,none,Class_3,0,pass
board_000159,minor_defect,scratch,Class_2,0,fail
board_000160,good,none,Class_3,0,pass
board_000161,good,none,Class_2,0,pass
board_000162,good,none,Class_3,0,pass
board_000163,major_defect,tombstone,Class_2,1,fail
board_000164,major_defect,missing_component,Class_3,1,fail
board_000165,major_defect,missing_component,Class_2,1,fail
board_000166,good,none,Class_3,0,pass
board_000167,good,none,Class_3,0,pass
board_000168,major_defect,solder_bridge,Class_2,1,fail
board_000169,minor_defect,scratch,Class_3,1,fail
board_000170,safety_critical_defect,missing_component,Class_2,0,fail
board_000171,major_defect,tombstone,Class_3,1,fail
board_000172,major_defect,missing_component,Class_2,0,fail
board_000173,minor_defect,cold_joint,Class_2,1,fail
board_000174,minor_defect,cold_joint,Class_2,1,fail
board_000175,good,none,Class_3,0,pass
board_000176,minor_defect,scratch,Class_3,1,fail
board_000177,good,none,Class_2,0,pass
board_000178,good,none,Class_2,0,pass
board_000179,minor_defect,scratch,Class_2,0,fail
board_000180,good,none,Class_3,0,pass
board_000181,good,none,Class_3,0,pass
board_000182,good,none,Class_3,0,pass
board_000183,good,none,Class_3,0,pass
board_000184,good,none,Class_2,0,pass
board_000185,minor_defect,contamination,Class_3,1,fail
board_000186,good,none,Class_2,0,pass
board_000187,good,none,Class_2,0,pass
board_000188,good,none,Class_2,0,pass
board_000189,good,none,Class_3,1,pass
board_000190,good,none,Class_2,0,pass
board_000191,major_defect,missing_component,Class_2,1,fail
board_000192,good,none,Class_3,0,pass
board_000193,good,none,Class_3,0,pass
board_000194,major_defect,solder_bridge,Class_2,1,fail
board_000195,good,none,Class_3,0,pass
board_000196,good,none,Class_3,0,pass
board_000197,good,none,Class_3,1,pass
board_000198,good,none,Class_2,0,pass
board_000199,minor_defect,cold_joint,Class_2,0,fail
board_000200,good,none,Class_3,0,pass
board_000201,good,none,Class_2,1,pass
board_000202,good,none,Class_3,1,pass
board_000203,minor_defect,contamination,Class_3,1,fail
board_000204,good,none,Class_2,0,pass
board_000205,minor_defect,scratch,Class_2,1,fail
board_000206,good,none,Class_2,0,pass
board_000207,good,none,Class_2,1,pass
board_000208,safety_critical_defect,solder_bridge,Class_2,0,fail
board_000209,minor_defect,cold_joint,Class_2,1,fail
board_000210,good,none,Class_2,0,pass
board_000211,good,none,Class_2,0,pass
board_000212,good,none,Class_3,0,pass
board_000213,good,none,Class_2,0,pass
board_000214,good,none,Class_3,1,pass
board_000215,minor_defect,scratch,Class_3,1,fail
board_000216,good,none,Class_3,0,pass
board_000217,good,none,Class_2,0,pass
board_000218,minor_defect,cold_joint,Class_3,0,fail
board_000219,minor_defect,scratch,Class_3,1,fail
board_000220,minor_defect,scratch,Class_3,1,fail
board_000221,good,none,Class_2,0,pass
board_000222,minor_defect,scratch,Class_2,1,fail
board_000223,minor_defect,contamination,Class_3,1,fail
board_000224,good,none,Class_3,0,pass
board_000225,major_defect,tombstone,Class_3,1,fail
board_000226,minor_defect,contamination,Class_3,1,fail
board_000227,minor_defect,cold_joint,Class_3,1,fail
board_000228,good,none,Class_3,0,pass
board_000229,good,none,Class_2,0,pass
board_000230,minor_defect,contamination,Class_3,1,fail
board_000231,good,none,Class_3,0,pass
board_000232,good,none,Class_3,0,pass
board_000233,major_defect,missing_component,Class_3,1,fail
board_000234,good,none,Class_3,0,pass
board_000235,minor_defect,contamination,Class_3,1,fail
board_000236,minor_defect,scratch,Class_2,0,fail
board_000237,good,none,Class_3,0,pass
board_000238,minor_defect,cold_joint,Class_3,0,fail
board_000239,minor_defect,cold_joint,Class_2,1,fail
board_000240,good,none,Class_3,0,pass
board_000241,good,none,Class_3,0,pass
board_000242,major_defect,solder_bridge,Class_3,1,fail
board_000243,good,none,Class_3,0,pass
board_000244,good,none,Class_2,1,pass
board_000245,minor_defect,cold_joint,Class_2,0,fail
board_000246,minor_defect,scratch,Class_2,1,fail
board_000247,major_defect,solder_bridge,Class_3,1,fail
board_000248,good,none,Class_2,0,pass
board_000249,good,none,Class_3,0,pass
board_000250,good,none,Class_3,0,pass
board_000251,minor_defect,scratch,Class_3,1,fail
board_000252,good,none,Class_2,0,pass
board_000253,good,none,Class_3,0,pass
board_000254,good,none,Class_3,0,pass
board_000255,minor_defect,scratch,Class_3,1,fail
board_000256,good,none,Class_2,0,pass
board_000257,good,none,Class_2,0,pass
board_000258,good,none,Class_3,0,pass
board_000259,good,none,Class_3,0,pass
board_000260,good,none,Class_3,0,pass
board_000261,minor_defect,cold_joint,Class_3,1,fail
board_000262,major_defect,tombstone,Class_3,0,fail
board_000263,good,none,Class_3,0,pass
board_000264,good,none,Class_3,0,pass
board_000265,good,none,Class_2,0,pass
board_000266,good,none,Class_3,0,pass
board_000267,good,none,Class_3,0,pass
board_000268,good,none,Class_3,0,pass
board_000269,good,none,Class_3,0,pass
board_000270,minor_defect,scratch,Class_3,1,fail
board_000271,major_defect,missing_component,Class_2,1,fail
board_000272,major_defect,tombstone,Class_2,1,fail
board_000273,minor_defect,scratch,Class_2,1,fail
board_000274,good,none,Class_2,0,pass
