image_id,ppe_present,restricted_zone_clear
safety_0000,0,1
safety_0001,1,0
safety_0002,1,1
safety_0003,0,1
safety_0004,0,0
safety_0005,0,1
safety_0006,1,1
safety_0007,0,1
safety_0008,1,1
safety_0009,1,1
safety_0010,1,1
safety_0011,1,0
safety_0012,0,1
safety_0013,1,1
safety_0014,0,1
safety_0015,1,1
safety_0016,1,1
safety_0017,0,1
safety_0018,1,1
safety_0019,0,1
safety_0020,1,0
safety_0021,1,1
safety_0022,1,1
safety_0023,0,1
safety_0024,0,1
safety_0025,1,1
safety_0026,0,1
safety_0027,1,1
safety_0028,0,1
safety_0029,0,1
safety_0030,0,0
safety_0031,1,1
safety_0032,0,1
safety_0033,0,1
safety_0034,1,1
safety_0035,1,1
safety_0036,1,1
safety_0037,1,1
safety_0038,1,1
safety_0039,1,1
safety_0040,0,0
safety_0041,1,1
safety_0042,1,1
safety_0043,1,1
safety_0044,0,1
safety_0045,1,1
safety_0046,0,1
safety_0047,1,1
safety_0048,1,1
safety_0049,0,1
safety_0050,1,1
safety_0051,1,1
safety_0052,1,1
safety_0053,1,1
safety_0054,1,1
safety_0055,1,1
safety_0056,1,1
safety_0057,1,1
safety_0058,0,0
safety_0059,0,1
safety_0060,1,1
safety_0061,1,1
safety_0062,1,1
safety_0063,1,0
safety_0064,1,1
safety_0065,1,1
safety_0066,1,0
safety_0067,0,1
safety_0068,1,1
safety_0069,0,1
safety_0070,0,0
safety_0071,1,1
safety_0072,0,1
safety_0073,0,0
safety_0074,1,1
safety_0075,1,1
safety_0076,0,1
safety_0077,1,1
safety_0078,0,1
safety_0079,0,1
safety_0080,1,1
safety_0081,0,1
safety_0082,1,1
safety_0083,0,1
safety_0084,1,1
safety_0085,1,0
safety_0086,0,0
safety_0087,1,1
safety_0088,1,0
safety_0089,0,1
safety_0090,1,1
safety_0091,0,0
safety_0092,0,1
safety_0093,0,1
safety_0094,1,1
safety_0095,1,1
safety_0096,0,1
safety_0097,1,1
safety_0098,1,1
safety_0099,1,1
safety_0100,1,1
safety_0101,0,0
safety_0102,0,1
safety_0103,1,1
safety_0104,0,1
safety_0105,1,1
safety_0106,0,1
safety_0107,1,1
safety_0108,0,1
safety_0109,1,1
safety_0110,0,1
safety_0111,1,1
safety_0112,1,0
safety_0113,1,0
safety_0114,0,1
safety_0115,0,1
safety_0116,1,1
safety_0117,1,1
safety_0118,0,1
safety_0119,1,1
safety_0120,0,1
safety_0121,1,1
safety_0122,1,1
safety_0123,0,1
safety_0124,1,0
safety_0125,1,0
safety_0126,1,1
safety_0127,1,1
safety_0128,0,1
safety_0129,0,1
safety_0130,1,1
safety_0131,0,0
safety_0132,0,1
safety_0133,1,1
safety_0134,1,1
safety_0135,1,1
safety_0136,1,1
safety_0137,1,1
safety_0138,1,1
safety_0139,1,1
safety_0140,0,1
safety_0141,0,1
safety_0142,1,1
safety_0143,1,1
safety_0144,1,1
safety_0145,1,0
safety_0146,1,1
safety_0147,1,0
safety_0148,0,0
safety_0149,1,1
safety_0150,0,1
safety_0151,1,1
safety_0152,0,1
safety_0153,1,1
safety_0154,1,1
safety_0155,1,1
safety_0156,0,1
safety_0157,1,1
safety_0158,1,1
safety_0159,0,1
safety_0160,0,0
safety_0161,1,1
safety_0162,1,1
safety_0163,1,1
safety_0164,1,1
safety_0165,0,1
safety_0166,0,1
safety_0167,1,0
safety_0168,1,1
safety_0169,1,1
safety_0170,1,0
safety_0171,1,1
safety_0172,0,1
safety_0173,0,0
safety_0174,1,1
safety_0175,1,1
safety_0176,1,1
safety_0177,1,0
safety_0178,0,0
safety_0179,1,1
safety_0180,1,1
safety_0181,0,1
safety_0182,1,0
safety_0183,1,1
safety_0184,1,1
safety_0185,0,1
safety_0186,0,1
safety_0187,1,1
safety_0188,1,1
safety_0189,1,1
safety_0190,1,1
safety_0191,0,0
safety_0192,1,1
safety_0193,1,1
safety_0194,1,1
safety_0195,1,1
safety_0196,1,1
safety_0197,0,1
safety_0198,1,0
safety_0199,0,1
