customer_id,signup_date,age_band,postal_district,income_tier,latent_segment,total_spend_24mo,avg_basket_size,visits_per_week,weekend_browse_fraction,luxury_category_fraction,distinct_categories,days_since_last_visit,marketing_email_open_rate
C00000,2025-11-18,35-44,52,low,lapsed_reactivatable,175.77,51.5,0.135,0.51,0.504,1,133,0.547
C00001,2024-08-10,25-34,01,high,corporate_gifter_seasonal,4013.7,154.87,0.282,0.322,0.661,7,5,0.685
C00002,2025-07-30,45-54,17,mid,lapsed_reactivatable,120.31,44.51,0.079,0.456,0.173,4,170,0.322
C00003,2025-04-10,45-54,11,high,corporate_gifter_seasonal,1367.1,134.11,0.167,0.186,0.6,8,2,0.796
C00004,2025-07-20,45-54,52,low,lapsed_reactivatable,166.08,50.05,0.076,0.465,0.33,4,83,0.475
C00005,2025-08-26,18-24,78,low,weekend_browser_bargain,1040.21,30.87,0.992,0.855,0.12,3,3,0.571
C00006,2024-11-14,18-24,24,mid,casual_long_tail,2817.03,54.58,0.653,0.617,0.302,7,5,0.22
C00007,2026-04-13,35-44,76,low,new_digital_native,38.97,43.47,0.7,0.453,0.487,7,17,0.712
C00008,2024-08-07,45-54,52,low,casual_long_tail,2348.64,44.16,0.606,0.442,0.376,2,4,0.847
C00009,2025-02-05,18-24,76,low,family_bulk_weekly,11405.44,175.79,1.045,0.517,0.211,4,3,0.55
C00010,2026-02-20,18-24,03,high,lapsed_reactivatable,61.2,61.11,0.113,0.463,0.511,5,125,0.317
C00011,2026-04-05,25-34,77,low,new_digital_native,40.89,37.43,0.389,0.445,0.422,2,15,0.665
C00012,2026-04-02,25-34,23,mid,new_digital_native,112.44,49.58,0.667,0.454,0.454,3,25,0.689
C00013,2024-05-17,25-34,01,high,casual_long_tail,2541.68,52.82,0.516,0.546,0.428,7,5,0.871
C00014,2024-09-15,18-24,54,low,weekend_browser_bargain,3417.08,44.54,0.862,0.673,0.148,6,1,0.608
C00015,2025-07-31,25-34,11,high,lapsed_reactivatable,25.35,26.13,0.026,0.531,0.103,7,79,0.384
C00016,2024-08-23,35-44,01,high,weekday_luxury_regular,29065.5,168.64,2.072,0.01,0.968,11,0,0.5
C00017,2025-08-02,45-54,01,high,casual_long_tail,1256.66,45.2,0.716,0.474,0.399,3,5,0.512
C00018,2025-10-17,35-44,17,mid,casual_long_tail,604.34,51.66,0.484,0.541,0.358,5,0,0.543
C00019,2026-03-25,55+,78,low,new_digital_native,47.49,48.05,0.241,0.445,0.288,5,11,0.554
C00020,2024-10-21,35-44,53,low,casual_long_tail,1421.19,44.22,0.485,0.381,0.313,5,1,0.475
C00021,2024-05-30,25-34,78,low,weekend_browser_bargain,2402.5,30.38,0.869,0.705,0.228,1,5,0.187
C00022,2025-11-10,18-24,54,low,weekend_browser_bargain,295.09,23.68,0.64,0.898,0.164,3,4,0.5
C00023,2025-01-12,18-24,76,low,weekend_browser_bargain,1726.96,29.14,0.871,0.763,0.0,3,5,0.588
C00024,2025-06-19,55+,03,high,weekday_luxury_regular,25947.16,238.19,2.614,0.08,0.835,1,1,0.744
C00025,2025-09-21,35-44,23,mid,casual_long_tail,1100.11,50.53,0.654,0.505,0.538,5,6,0.318
C00026,2025-03-20,25-34,54,low,weekend_browser_bargain,1064.48,25.67,0.825,0.782,0.102,4,2,0.682
C00027,2026-01-20,45-54,10,high,casual_long_tail,435.44,48.43,0.602,0.443,0.361,10,2,0.324
C00028,2026-03-27,35-44,52,low,new_digital_native,96.35,47.36,0.519,0.453,0.224,4,9,0.657
C00029,2026-03-25,35-44,52,low,new_digital_native,49.96,23.12,0.483,0.587,0.366,2,17,0.96
C00030,2024-07-16,45-54,10,high,weekday_luxury_regular,46744.58,200.49,2.286,0.225,0.942,4,1,0.755
C00031,2026-01-09,55+,11,high,casual_long_tail,132.42,48.9,0.202,0.563,0.516,2,1,0.603
C00032,2026-03-27,45-54,11,high,new_digital_native,38.1,35.91,0.259,0.358,0.454,6,17,0.369
C00033,2025-05-21,35-44,02,high,lapsed_reactivatable,289.94,57.2,0.125,0.487,0.377,6,140,0.33
C00034,2025-01-16,25-34,53,low,weekend_browser_bargain,1870.18,33.17,0.879,0.648,0.049,10,4,0.423
C00035,2025-02-10,55+,16,mid,family_bulk_weekly,7965.79,107.17,1.041,0.534,0.396,3,6,0.301
C00036,2025-02-01,45-54,11,high,family_bulk_weekly,11775.31,136.39,1.365,0.489,0.328,3,4,0.1
C00037,2025-11-09,18-24,78,low,weekend_browser_bargain,454.11,21.21,0.891,0.734,0.244,3,3,0.28
C00038,2024-12-15,35-44,24,mid,family_bulk_weekly,8666.8,94.6,1.304,0.506,0.409,3,0,0.366
C00039,2025-10-03,25-34,77,low,family_bulk_weekly,2308.58,56.17,1.213,0.68,0.334,1,5,0.349
C00040,2025-03-06,35-44,16,mid,family_bulk_weekly,6083.56,78.02,1.356,0.612,0.441,5,0,0.63
C00041,2025-12-04,45-54,02,high,corporate_gifter_seasonal,1886.34,371.05,0.25,0.407,0.716,7,2,0.709
C00042,2026-04-06,18-24,53,low,new_digital_native,50.35,46.09,0.412,0.37,0.533,2,9,0.532
C00043,2025-04-24,18-24,01,high,casual_long_tail,1721.24,53.19,0.615,0.567,0.446,3,3,0.313
C00044,2025-12-26,45-54,10,high,weekday_luxury_regular,7562.53,146.3,2.847,0.135,1.0,1,1,0.579
C00045,2025-01-10,25-34,54,low,family_bulk_weekly,6570.09,97.8,1.032,0.59,0.289,2,2,0.503
C00046,2026-03-07,55+,10,high,weekday_luxury_regular,4562.88,195.4,3.277,0.254,0.792,8,0,0.715
C00047,2026-03-06,55+,11,high,weekday_luxury_regular,1539.09,163.9,1.604,0.096,0.855,6,2,0.521
C00048,2026-02-12,35-44,52,low,casual_long_tail,597.34,72.18,0.8,0.662,0.481,2,3,0.431
C00049,2024-10-18,18-24,54,low,weekend_browser_bargain,1425.99,33.88,0.697,0.8,0.041,3,3,0.447
C00050,2025-02-07,18-24,78,low,weekend_browser_bargain,1374.68,34.89,0.636,0.75,0.0,4,4,0.895
C00051,2025-05-02,35-44,53,low,family_bulk_weekly,5986.35,109.82,1.042,0.47,0.33,1,4,0.426
C00052,2025-07-16,45-54,17,mid,casual_long_tail,998.95,39.68,0.747,0.632,0.507,4,4,0.705
C00053,2025-12-26,45-54,17,mid,lapsed_reactivatable,155.33,41.93,0.237,0.49,0.556,3,155,0.492
C00054,2025-10-10,18-24,53,low,weekend_browser_bargain,660.04,32.4,0.754,0.706,0.074,2,0,0.5
C00055,2025-12-23,25-34,10,high,casual_long_tail,391.78,40.34,0.463,0.427,0.237,7,3,0.532
C00056,2025-01-23,18-24,52,low,weekend_browser_bargain,1962.07,34.29,0.877,0.819,0.0,6,4,0.569
C00057,2026-04-09,45-54,24,mid,new_digital_native,27.6,23.98,0.5,0.378,0.507,4,9,0.53
C00058,2024-08-23,25-34,03,high,corporate_gifter_seasonal,5343.52,307.21,0.207,0.272,0.743,4,6,0.197
C00059,2024-06-14,25-34,77,low,weekend_browser_bargain,1684.73,21.91,0.785,0.843,0.024,5,2,0.48
