date,depot_id,week_number,orders_last_day,orders_7d_rolling_avg,orders_28d_rolling_avg,day_of_week,is_holiday,active_customers,customer_mix_hash,avg_order_value,is_peak_season,orders_next_day
2024-01-01,D01,1,3385,3385.0,3385.0,0,True,587,0.2404,34.69,False,4712
2024-01-02,D01,1,3385,3385.0,3385.0,1,False,518,0.2512,29.95,False,4529
2024-01-03,D01,1,4712,4048.5,4048.5,2,False,561,0.2521,38.46,False,4309
2024-01-04,D01,1,4529,4208.67,4208.67,3,False,588,0.2592,44.67,False,4516
2024-01-05,D01,1,4309,4233.75,4233.75,4,False,578,0.2547,45.96,False,4825
2024-01-06,D01,1,4516,4290.2,4290.2,5,False,530,0.2544,42.02,False,3995
2024-01-07,D01,1,4825,4379.33,4379.33,6,False,556,0.2618,39.84,False,4131
2024-01-08,D01,2,3995,4324.43,4324.43,0,False,557,0.2544,46.46,False,4406
2024-01-09,D01,2,4131,4431.0,4300.25,1,False,580,0.2415,38.27,False,4585
2024-01-10,D01,2,4406,4387.29,4312.0,2,False,577,0.2509,42.25,False,4985
2024-01-11,D01,2,4585,4395.29,4339.3,3,False,545,0.2537,37.99,False,4320
2024-01-12,D01,2,4985,4491.86,4398.0,4,False,600,0.2653,43.3,False,5015
2024-01-13,D01,2,4320,4463.86,4391.5,5,False,534,0.2454,35.73,False,3953
2024-01-14,D01,2,5015,4491.0,4439.46,6,False,580,0.2525,43.96,False,4137
2024-01-15,D01,3,3953,4485.0,4404.71,0,False,566,0.2542,41.31,False,4554
2024-01-16,D01,3,4137,4485.86,4386.87,1,False,570,0.2614,44.63,False,4658
2024-01-17,D01,3,4554,4507.0,4397.31,2,False,572,0.2576,40.45,False,4647
2024-01-18,D01,3,4658,4517.43,4412.65,3,False,551,0.2394,32.52,False,4400
2024-01-19,D01,3,4647,4469.14,4425.67,4,False,553,0.261,36.78,False,5424
2024-01-20,D01,3,4400,4480.57,4424.32,5,False,595,0.2588,35.6,False,3508
2024-01-21,D01,3,5424,4539.0,4474.3,6,False,567,0.2529,38.36,False,4407
2024-01-22,D01,4,3508,4475.43,4428.29,0,False,589,0.258,43.8,False,4428
2024-01-23,D01,4,4407,4514.0,4427.32,1,False,591,0.241,37.7,False,4464
2024-01-24,D01,4,4428,4496.0,4427.35,2,False,524,0.2542,33.47,False,4300
2024-01-25,D01,4,4464,4468.29,4428.88,3,False,567,0.2497,42.69,False,4663
2024-01-26,D01,4,4300,4418.71,4423.72,4,False,567,0.2589,37.88,False,5207
2024-01-27,D01,4,4663,4456.29,4432.92,5,False,577,0.2615,38.49,False,3705
